vessel_type,vessel_group,ais_ship_cargo_classification
0,Not Available,Not available or no ship default
1,Other,Reserved for future use
2,Other,Reserved for future use
3,Other,Reserved for future use
4,Other,Reserved for future use
5,Other,Reserved for future use
6,Other,Reserved for future use
7,Other,Reserved for future use
8,Other,Reserved for future use
9,Other,Reserved for future use
10,Other,Reserved for future use
11,Other,Reserved for future use
12,Other,Reserved for future use
13,Other,Reserved for future use
14,Other,Reserved for future use
15,Other,Reserved for future use
16,Other,Reserved for future use
17,Other,Reserved for future use
18,Other,Reserved for future use
19,Other,Reserved for future use
20,Other,Wing in ground (WIG) all ships of this type
21,Tug Tow,Wing in ground (WIG) hazardous category A
22,Tug Tow,Wing in ground (WIG) hazardous category B
23,Other,Wing in ground (WIG) hazardous category C
24,Other,Wing in ground (WIG) hazardous category D
25,Other,Wing in ground (WIG) reserved for future use
26,Other,Wing in ground (WIG) reserved for future use
27,Other,Wing in ground (WIG) reserved for future use
28,Other,Wing in ground (WIG) reserved for future use
29,Other,Wing in ground (WIG) reserved for future use
30,Fishing,Fishing
31,Tug Tow,Towing
32,Tug Tow,Towing: length exceeds 200m or breadth exceeds 25m
33,Other,Dredging or underwater operations
34,Other,Diving operations
35,Military,Military operations
36,Pleasure Craft/Sailing,Sailing
37,Pleasure Craft/Sailing,Pleasure Craft
38,Other,Reserved
39,Other,Reserved
40,Other,High speed craft (HSC) all ships of this type
41,Other,High speed craft (HSC) hazardous category A
42,Other,High speed craft (HSC) hazardous category B
43,Other,High speed craft (HSC) hazardous category C
44,Other,High speed craft (HSC) hazardous category D
45,Other,High speed craft (HSC) reserved for future use
46,Other,High speed craft (HSC) reserved for future use
47,Other,High speed craft (HSC) reserved for future use
48,Other,High speed craft (HSC) reserved for future use
49,Other,High speed craft (HSC) no additional information
50,Other,Pilot Vessel
51,Other,Search and Rescue vessel
52,Tug Tow,Tug
53,Other,Port Tender
54,Other,Anti-pollution equipment
55,Other,Law Enforcement
56,Other,Spare - for assignment to local vessel
57,Other,Spare - for assignment to local vessel
58,Other,Medical Transport
59,Other,Ship according to RR Resolution No. 18
60,Passenger,Passenger all ships of this type
61,Passenger,Passenger hazardous category A
62,Passenger,Passenger hazardous category B
63,Passenger,Passenger hazardous category C
64,Passenger,Passenger hazardous category D
65,Passenger,Passenger reserved for future use
66,Passenger,Passenger reserved for future use
67,Passenger,Passenger reserved for future use
68,Passenger,Passenger reserved for future use
69,Passenger,Passenger no additional information
70,Cargo,Cargo all ships of this type
71,Cargo,Cargo hazardous category A
72,Cargo,Cargo hazardous category B
73,Cargo,Cargo hazardous category C
74,Cargo,Cargo hazardous category D
75,Cargo,Cargo reserved for future use
76,Cargo,Cargo reserved for future use
77,Cargo,Cargo reserved for future use
78,Cargo,Cargo reserved for future use
79,Cargo,Cargo no additional information
80,Tanker,Tanker all ships of this type
81,Tanker,Tanker hazardous category A
82,Tanker,Tanker hazardous category B
83,Tanker,Tanker hazardous category C
84,Tanker,Tanker hazardous category D
85,Tanker,Tanker reserved for future use
86,Tanker,Tanker reserved for future use
87,Tanker,Tanker reserved for future use
88,Tanker,Tanker reserved for future use
89,Tanker,Tanker no additional information
90,Other,Other Type all ships of this type
91,Other,Other Type hazardous category A
92,Other,Other Type hazardous category B
93,Other,Other Type hazardous category C
94,Other,Other Type hazardous category D
95,Other,Other Type reserved for future use
96,Other,Other Type reserved for future use
97,Other,Other Type reserved for future use
98,Other,Other Type reserved for future use
99,Other,Other Type no additional information
100,Other,Reserved for regional use
101,Other,Reserved for regional use
102,Other,Reserved for regional use
103,Other,Reserved for regional use
104,Other,Reserved for regional use
105,Other,Reserved for regional use
106,Other,Reserved for regional use
107,Other,Reserved for regional use
108,Other,Reserved for regional use
109,Other,Reserved for regional use
110,Other,Reserved for regional use
111,Other,Reserved for regional use
112,Other,Reserved for regional use
113,Other,Reserved for regional use
114,Other,Reserved for regional use
115,Other,Reserved for regional use
116,Other,Reserved for regional use
117,Other,Reserved for regional use
118,Other,Reserved for regional use
119,Other,Reserved for regional use
120,Other,Reserved for regional use
121,Other,Reserved for regional use
122,Other,Reserved for regional use
123,Other,Reserved for regional use
124,Other,Reserved for regional use
125,Other,Reserved for regional use
126,Other,Reserved for regional use
127,Other,Reserved for regional use
128,Other,Reserved for regional use
129,Other,Reserved for regional use
130,Other,Reserved for regional use
131,Other,Reserved for regional use
132,Other,Reserved for regional use
133,Other,Reserved for regional use
134,Other,Reserved for regional use
135,Other,Reserved for regional use
136,Other,Reserved for regional use
137,Other,Reserved for regional use
138,Other,Reserved for regional use
139,Other,Reserved for regional use
140,Other,Reserved for regional use
141,Other,Reserved for regional use
142,Other,Reserved for regional use
143,Other,Reserved for regional use
144,Other,Reserved for regional use
145,Other,Reserved for regional use
146,Other,Reserved for regional use
147,Other,Reserved for regional use
148,Other,Reserved for regional use
149,Other,Reserved for regional use
150,Other,Reserved for regional use
151,Other,Reserved for regional use
152,Other,Reserved for regional use
153,Other,Reserved for regional use
154,Other,Reserved for regional use
155,Other,Reserved for regional use
156,Other,Reserved for regional use
157,Other,Reserved for regional use
158,Other,Reserved for regional use
159,Other,Reserved for regional use
160,Other,Reserved for regional use
161,Other,Reserved for regional use
162,Other,Reserved for regional use
163,Other,Reserved for regional use
164,Other,Reserved for regional use
165,Other,Reserved for regional use
166,Other,Reserved for regional use
167,Other,Reserved for regional use
168,Other,Reserved for regional use
169,Other,Reserved for regional use
170,Other,Reserved for regional use
171,Other,Reserved for regional use
172,Other,Reserved for regional use
173,Other,Reserved for regional use
174,Other,Reserved for regional use
175,Other,Reserved for regional use
176,Other,Reserved for regional use
177,Other,Reserved for regional use
178,Other,Reserved for regional use
179,Other,Reserved for regional use
180,Other,Reserved for regional use
181,Other,Reserved for regional use
182,Other,Reserved for regional use
183,Other,Reserved for regional use
184,Other,Reserved for regional use
185,Other,Reserved for regional use
186,Other,Reserved for regional use
187,Other,Reserved for regional use
188,Other,Reserved for regional use
189,Other,Reserved for regional use
190,Other,Reserved for regional use
191,Other,Reserved for regional use
192,Other,Reserved for regional use
193,Other,Reserved for regional use
194,Other,Reserved for regional use
195,Other,Reserved for regional use
196,Other,Reserved for regional use
197,Other,Reserved for regional use
198,Other,Reserved for regional use
199,Other,Reserved for regional use
200,Other,Reserved for future use
201,Other,Reserved for future use
202,Other,Reserved for future use
203,Other,Reserved for future use
204,Other,Reserved for future use
205,Other,Reserved for future use
206,Other,Reserved for future use
207,Other,Reserved for future use
208,Other,Reserved for future use
209,Other,Reserved for future use
210,Other,Reserved for future use
211,Other,Reserved for future use
212,Other,Reserved for future use
213,Other,Reserved for future use
214,Other,Reserved for future use
215,Other,Reserved for future use
216,Other,Reserved for future use
217,Other,Reserved for future use
218,Other,Reserved for future use
219,Other,Reserved for future use
220,Other,Reserved for future use
221,Other,Reserved for future use
222,Other,Reserved for future use
223,Other,Reserved for future use
224,Other,Reserved for future use
225,Other,Reserved for future use
226,Other,Reserved for future use
227,Other,Reserved for future use
228,Other,Reserved for future use
229,Other,Reserved for future use
230,Other,Reserved for future use
231,Other,Reserved for future use
232,Other,Reserved for future use
233,Other,Reserved for future use
234,Other,Reserved for future use
235,Other,Reserved for future use
236,Other,Reserved for future use
237,Other,Reserved for future use
238,Other,Reserved for future use
239,Other,Reserved for future use
240,Other,Reserved for future use
241,Other,Reserved for future use
242,Other,Reserved for future use
243,Other,Reserved for future use
244,Other,Reserved for future use
245,Other,Reserved for future use
246,Other,Reserved for future use
247,Other,Reserved for future use
